KM,Latitude,Longitude,RX_HorizontalWearConsumption,LX_HorizontalWearConsumption,RX_VerticalWear,LX_VerticalWear
336580,60.74077923574815,7.127408150327933,0.57,0.33,0.1,-1.13
336585,60.7408152967231,7.1274624180139865,0.59,0.22,-0.32,-0.84
336590,60.74085135767822,7.127516685820913,0.54,0.29,-0.25,-0.8
336595,60.74088971839923,7.127563914634926,0.68,0.24,-0.34,-0.57
336600,60.740928138334645,7.127610926674108,0.62,0.4,-0.2,-0.9
336605,60.74096845402718,7.1276507896746875,0.55,0.19,-0.19,-1.1
336610,60.741008769709616,7.127690652772736,0.6,0.12,-0.63,-0.81
336615,60.7410490865968,7.127730510838849,0.75,0.2,-0.63,-1.01
336620,60.7410898482081,7.127768383790474,0.74,0.16,-0.63,-0.7
336625,60.74113097427086,7.127804628602972,0.68,0.12,-0.43,-0.84
336630,60.74117318839385,7.1278350118178215,-1.71,-1.55,2.77,2.68
336635,60.74121573952277,7.127863579546752,-1.71,-1.73,2.77,2.68
336640,60.74125937338685,7.12788411573465,-1.86,-1.38,2.77,2.24
336645,60.74130308528112,7.127904073140758,-1.51,-1.32,2.77,2.3
336650,60.74134679717339,7.12792403059707,-2.07,-1.65,2.77,3.0
336655,60.741390509063656,7.127943988103584,-2.17,-1.64,2.77,-1.21
336660,60.74143439924291,7.1279621840641205,-1.94,-1.95,2.77,-2.19
336665,60.741478401702345,7.127979270674512,-1.94,-2.17,-3.0,-2.19
336670,60.74152240416041,7.127996357327455,-2.12,-2.08,-3.0,-2.19
336675,60.74156673715882,7.128009192351458,-2.11,-2.09,-3.0,-2.19
336680,60.74161116606145,7.128020793806641,-1.83,-1.83,-3.0,-2.19
336685,60.74165559496366,7.12803239528942,-1.52,-0.15,-2.48,-1.66
336690,60.74170002386543,7.128043996799799,-1.25,-0.13,-2.73,-1.26
336695,60.74174451134451,7.128054087640204,-0.91,-0.22,-2.55,-1.21
336700,60.74178928032472,7.128056918685944,-0.47,-0.09,-2.75,-1.16
336705,60.74183404930501,7.128059749734837,-0.55,-0.15,-2.55,-1.37
336710,60.74187881828534,7.128062580786903,-1.05,-0.04,-2.64,-1.57
336715,60.74192358735206,7.12806539768613,-0.52,-0.08,-3.63,-1.62
336720,60.74196837695991,7.128064844514294,0.82,-0.01,-2.95,-2.97
336725,60.74201316656768,7.128064291336149,0.85,-0.05,-3.06,-2.99
336730,60.74205795617544,7.128063738151689,-0.17,-0.12,-3.32,-2.3
336735,60.74210274578312,7.128063184960918,0.05,-0.06,-3.2,-2.43
336740,60.74214753539077,7.128062631763836,-0.05,-0.08,-3.41,-2.67
336745,60.74219232261105,7.1280631885651085,0.1,-0.08,-3.59,-2.95
336750,60.74223710811002,7.128064545702638,0.43,0.0,-3.31,-2.89
336755,60.74228189360905,7.128065902839206,-0.03,-0.04,-3.5,-2.99
336760,60.74232667910812,7.1280672599748085,0.1,0.73,-4.82,-2.84
336765,60.74237146460723,7.128068617109443,0.07,0.87,-4.68,-2.89
336770,60.74241624485101,7.128070562246245,0.03,1.39,-4.07,-3.37
336775,60.742461024753,7.128072545633854,0.15,1.77,-3.68,-3.17
336780,60.74250580465504,7.128074529022249,0.17,1.61,-3.69,-3.16
336785,60.742550584557115,7.12807651241144,0.21,1.87,-3.46,-3.11
336790,60.74259536445927,7.128078495801419,0.09,0.45,-4.68,-1.84
336795,60.74264014436145,7.128080479192191,-0.26,0.72,-6.41,-1.86
336800,60.7426849242637,7.128082462583755,0.19,1.65,-11.24,-1.72
336805,60.74272959313765,7.128088789247312,0.25,1.96,-11.04,-1.99
336810,60.742774230597355,7.128096344804658,0.16,1.99,-10.37,-2.12
336815,60.74281886805698,7.12810390037838,0.16,1.79,-9.65,-1.97
336820,60.74286311568771,7.128117664049219,-0.04,2.4,-9.73,-2.22
336825,60.74290724143614,7.1281333687342405,-0.06,2.13,-9.57,-2.37
336830,60.74295136718353,7.128149073458081,0.15,2.3,-11.66,-2.12
336835,60.742995025319914,7.128169202673696,0.15,2.2,-11.56,-2.08
336840,60.74303839227694,7.128192087014389,0.0,2.39,-11.61,-2.24
336845,60.74308139605826,7.12821747874935,-0.05,2.45,-11.28,-2.01
336850,60.74312382234652,7.12824678143558,0.03,2.5,-11.8,-1.76
336855,60.74316525192706,7.128281556262198,0.06,2.46,-11.74,-1.96
336860,60.743206681500155,7.128316331175461,0.27,2.66,-10.15,-1.72
336865,60.74324791276041,7.128351981526785,0.17,2.78,-10.42,-1.92
336870,60.743287702803435,7.1283939936901435,0.04,2.64,-8.47,-1.57
336875,60.74332677495292,7.128438680760591,-0.07,3.01,-9.05,-2.42
336880,60.74336514086121,7.128485842326403,-0.05,3.02,-8.38,-1.72
336885,60.7434025515511,7.128536157528395,0.08,3.45,-8.59,-1.93
336890,60.743439962224144,7.128586472846144,0.11,3.69,-8.63,-2.13
336895,60.74347697792363,7.128637876598904,0.17,3.71,-8.32,-2.06
336900,60.74351141732591,7.128696379506947,0.11,3.6,-7.18,-2.08
336905,60.743545856704856,7.128754882540036,0.0,3.93,-7.59,-2.05
336910,60.74357995889555,7.128814161213619,0.03,3.76,-6.98,-2.04
336915,60.7436124616641,7.128877118797103,0.21,3.57,-10.23,-2.1
336920,60.74364292989912,7.128944061259542,0.24,3.88,-9.86,-2.02
336925,60.74367235122443,7.1290130541381265,0.03,3.85,-10.58,-2.13
336930,60.7437017699597,7.129082051694078,0.21,3.9,-10.82,-2.01
