Segment_ID,Curvature_Type,RX_Horizontal_Sum,LX_Horizontal_Sum,RX_Vertical_Sum,LX_Vertical_Sum
Right_155,Right,1.1099999999999999,0.44000000000000006,-0.020000000000000906,-11.13
Right_156,Right,5.109999999999999,0.09,-5.95,-3.6799999999999997
Straight_157,Straight,14.22,0.37,-20.689999999999998,-14.74
Straight_158,Straight,0.63,1.15,-39.940000000000005,-38.78
Straight_159,Straight,0.7200000000000001,0.47,-7.619999999999999,-8.21
Left_160,Left,4.85,1.2,-8.05,-10.379999999999999
Left_161,Left,5.699999999999999,1.43,-9.57,-10.03
Straight_162,Straight,6.21,1.73,-10.250000000000002,-10.23
Straight_163,Straight,5.94,1.11,-10.809999999999999,-10.83
Straight_164,Straight,5.83,0.8699999999999999,-8.680000000000001,-10.4
Straight_165,Straight,5.51,1.48,-7.8999999999999995,-10.73
Straight_166,Straight,5.86,1.3399999999999999,-8.25,-9.9
Straight_167,Straight,5.05,1.0,-6.42,-9.1
Straight_168,Straight,6.430000000000001,1.46,-6.580000000000001,-7.07
Straight_169,Straight,6.609999999999999,1.52,-6.11,-6.26
Straight_170,Straight,7.24,1.9,-6.63,-7.3500000000000005
Straight_171,Straight,7.390000000000001,2.29,-5.63,-7.960000000000001
Left_172,Left,6.559999999999999,2.3600000000000003,-5.59,-7.09
Left_173,Left,6.25,2.4000000000000004,-5.489999999999999,-6.86
Left_174,Left,6.210000000000001,2.4,-5.619999999999999,-6.470000000000001
Left_175,Left,6.210000000000001,1.97,-5.93,-6.38
Straight_176,Straight,5.87,1.75,-6.4,-7.82
Left_177,Left,5.54,1.59,-6.73,-8.48
Left_178,Left,5.87,0.81,-8.27,-7.280000000000001
Straight_179,Straight,3.7300000000000004,1.11,-5.57,-2.75
Straight_180,Straight,2.75,0.8400000000000001,-3.75,-4.59
Left_181,Left,2.21,2.12,-7.85,-4.8500000000000005
Left_182,Left,1.31,2.04,-7.720000000000001,-5.71
Straight_183,Straight,1.23,2.14,-7.58,-5.3
Left_184,Left,3.8099999999999996,3.4099999999999997,-7.77,-6.6
Straight_185,Straight,4.92,3.4899999999999998,-7.26,-6.85
Straight_186,Straight,4.92,3.49,-7.26,-6.07
Straight_187,Straight,3.03,2.13,-3.42,-5.130000000000001
Left_188,Left,1.7700000000000002,0.97,-2.5399999999999996,-4.39
Left_189,Left,2.78,0.79,-2.7199999999999998,-4.59
Straight_190,Straight,3.3800000000000003,0.87,-2.05,-4.97
Straight_191,Straight,3.83,1.23,-3.55,-8.34
Right_192,Right,4.1899999999999995,1.59,-5.2700000000000005,-9.4
Right_193,Right,4.57,1.4,-5.6,-7.990000000000001
Right_194,Right,3.31,1.07,-5.529999999999999,-5.15
Right_195,Right,1.4,0.78,-3.23,-2.27
Right_196,Right,2.1,2.67,-8.459999999999999,-3.86
Right_197,Right,2.1,2.63,-8.459999999999999,-4.58
Straight_198,Straight,1.7499999999999998,2.6,-8.13,-4.959999999999999
Straight_199,Straight,1.51,3.04,-9.469999999999999,-3.12
Straight_200,Straight,-3.5999999999999996,-3.4400000000000004,9.94,3.4800000000000004
Straight_201,Straight,-8.149999999999999,-8.73,-7.58,-11.379999999999999
Straight_202,Straight,-4.31,-2.59,-15.35,-14.120000000000001
Straight_203,Straight,-2.2199999999999998,-0.8300000000000001,-20.07,-17.03
Straight_204,Straight,-0.4,-1.0,-18.34,-15.170000000000002
Straight_205,Straight,0.32999999999999996,-0.33999999999999997,-13.69,-12.76
Straight_206,Straight,-0.87,-1.6500000000000001,-16.62,-16.71
Right_207,Right,-1.12,0.66,-15.69,-17.1
Straight_208,Straight,-1.08,0.34000000000000014,-15.419999999999998,-17.119999999999997
Straight_209,Straight,-1.05,-0.62,-16.44,-17.580000000000002
Right_210,Right,-1.0699999999999998,-0.5200000000000001,-16.51,-18.05
Right_211,Right,-2.2800000000000002,0.020000000000000004,-16.1,-15.86
Straight_212,Straight,-2.7,-1.3,-9.23,-15.670000000000002
Straight_213,Straight,-2.67,-1.01,-8.8,-16.590000000000003
Straight_214,Straight,-3.3,1.8900000000000001,-9.37,-17.169999999999998
Straight_215,Straight,-1.1300000000000001,11.620000000000001,-8.299999999999999,-21.02
Straight_216,Straight,0.8600000000000001,15.06,-15.719999999999999,-20.96
Straight_217,Straight,-2.63,-1.08,-18.97,-13.12
Straight_218,Straight,-2.8,-1.1900000000000002,-12.62,-14.329999999999998
Straight_219,Straight,-2.52,1.96,-7.859999999999999,-17.540000000000003
Straight_220,Straight,-3.58,-0.37,-9.75,-15.17
Straight_221,Straight,-0.6399999999999999,-0.84,-12.719999999999999,-13.530000000000001
Straight_222,Straight,0.2399999999999999,-0.54,-16.13,-13.04
Straight_223,Straight,-0.30999999999999994,-0.65,-15.549999999999999,-13.040000000000001
Straight_224,Straight,0.17999999999999994,1.49,-14.01,-15.750000000000002
Straight_225,Straight,-1.96,7.13,-12.549999999999997,-17.47
Straight_226,Straight,-0.7799999999999999,1.8600000000000003,-15.920000000000002,-13.47
Straight_227,Straight,1.23,-0.81,-18.82,-11.870000000000001
Straight_228,Straight,0.77,-1.3900000000000001,-21.28,-14.23
Straight_229,Straight,1.9599999999999997,-1.0,-21.129999999999995,-15.56
Straight_230,Straight,1.71,-0.4,-24.87,-26.47
Straight_231,Straight,2.19,0.38,-24.44,-28.53
Straight_232,Straight,0.26999999999999996,0.5700000000000001,-19.540000000000003,-18.63
Straight_233,Straight,-0.020000000000000018,0.08000000000000004,-16.380000000000003,-17.22
Straight_234,Straight,1.31,0.09999999999999999,-17.65,-17.900000000000002
Straight_235,Straight,-0.38,0.87,-20.03,-18.290000000000003
Straight_236,Straight,0.21999999999999995,0.5900000000000001,-19.560000000000002,-17.29
Straight_237,Straight,1.02,0.25000000000000006,-17.020000000000003,-16.23
Straight_238,Straight,-1.1600000000000001,-0.5800000000000001,-16.5,-14.18
Straight_239,Straight,-4.53,-1.03,-20.39,-13.87
Straight_240,Straight,-2.93,0.0,-16.369999999999997,-15.09
Straight_241,Straight,0.21999999999999992,-1.0700000000000003,-6.43,-16.05
Straight_242,Straight,7.2,-0.64,-11.27,-29.880000000000003
Straight_243,Straight,11.91,-0.11,-16.1,-35.69
Straight_244,Straight,12.55,-0.5,-16.92,-35.75
Straight_245,Straight,12.71,-0.6900000000000001,-15.31,-34.01
Straight_246,Straight,10.629999999999999,-0.07,-28.9,-51.07
Straight_247,Straight,5.29,0.79,-26.130000000000003,-38.03000000000001
Straight_248,Straight,2.47,0.55,-3.0900000000000003,-3.44
Straight_249,Straight,3.04,3.469446951953614e-18,-4.92,-2.36
Straight_250,Straight,3.02,0.31,-4.7700000000000005,-0.07
Straight_251,Straight,2.15,1.15,-3.66,-4.68
Straight_252,Straight,2.61,1.38,-3.8200000000000003,-6.05
Left_253,Left,3.2299999999999995,1.8599999999999999,-5.61,-5.57
Straight_254,Straight,3.35,2.19,-5.550000000000001,-5.03
Straight_255,Straight,3.54,2.26,-5.869999999999999,-4.2
Left_256,Left,2.7099999999999995,1.0799999999999998,-1.91,-4.680000000000001
Straight_257,Straight,0.9299999999999999,0.39,-0.8500000000000001,-1.85
Straight_258,Straight,3.33,1.41,-6.44,-4.8100000000000005
Straight_259,Straight,3.0700000000000003,1.6900000000000002,-5.13,-5.4
Straight_260,Straight,1.79,0.9500000000000001,-1.9,-3.54
Straight_261,Straight,2.02,1.02,-1.51,-4.19
Straight_262,Straight,2.34,0.81,-2.41,-3.7499999999999996
Straight_263,Straight,1.84,0.9700000000000001,-1.96,-3.3100000000000005
Straight_264,Straight,1.5699999999999998,0.6300000000000001,-3.01,-3.63
Straight_265,Straight,1.14,1.61,-8.28,-4.02
Straight_266,Straight,1.61,2.6700000000000004,-10.83,-7.65
Straight_267,Straight,1.44,1.04,-8.26,-6.9799999999999995
Straight_268,Straight,0.27,1.06,-6.23,-7.279999999999999
Straight_269,Straight,0.42000000000000004,0.73,-6.5200000000000005,-6.609999999999999
Straight_270,Straight,1.53,-0.32,-6.66,-8.17
Straight_271,Straight,2.1,0.19999999999999998,-6.930000000000001,-9.709999999999999
Straight_272,Straight,0.49,0.14,-4.8100000000000005,-8.780000000000001
Straight_273,Straight,0.59,0.52,-6.8100000000000005,-3.2699999999999996
Straight_274,Straight,0.6300000000000001,1.58,-7.41,-1.24
Straight_275,Straight,0.2,1.87,-9.51,-1.7600000000000002
Straight_276,Straight,0.22999999999999998,1.56,-9.77,-1.54
Straight_277,Straight,0.01999999999999999,2.64,-9.4,-3.41
Straight_278,Straight,0.09000000000000001,2.7499999999999996,-10.069999999999999,-3.08
Straight_279,Straight,0.16,2.18,-9.77,-2.9
Straight_280,Straight,0.48000000000000004,1.9499999999999997,-9.65,-2.73
Straight_281,Straight,0.6,1.76,-10.370000000000001,-3.2
Straight_282,Straight,0.8600000000000001,1.5699999999999998,-10.02,-1.9
Straight_283,Straight,0.8300000000000001,1.73,-9.59,-1.7900000000000003
Straight_284,Straight,0.81,1.11,-9.590000000000002,-1.1400000000000001
Straight_285,Straight,0.85,1.68,-9.88,-2.3499999999999996
Straight_286,Straight,1.25,1.7,-10.700000000000001,-2.9399999999999995
Straight_287,Straight,1.1400000000000001,1.7499999999999998,-9.910000000000002,-2.61
Right_288,Right,1.2100000000000002,1.64,-9.09,-2.18
Straight_289,Straight,1.56,1.4,-9.09,-1.6300000000000001
Right_290,Right,1.84,2.09,-9.15,-2.23
Straight_291,Straight,1.6300000000000001,2.04,-9.129999999999999,-3.09
Straight_292,Straight,-2.92,-2.77,4.0,4.38
Straight_293,Straight,-0.88,-4.38,-1.8999999999999997,-11.510000000000002
Straight_294,Straight,2.2,-0.8400000000000001,-13.49,-13.399999999999999
Straight_295,Straight,-1.3,0.07999999999999999,-6.13,-7.13
Right_296,Right,-1.2,0.43999999999999995,-9.959999999999999,-10.76
Straight_297,Straight,-0.020000000000000018,0.11999999999999997,-8.35,-11.01
Right_298,Right,2.8200000000000003,0.26999999999999996,-9.2,-9.75
Straight_299,Straight,0.7499999999999999,-0.48000000000000004,-8.43,-12.3
Right_300,Right,-1.25,-0.77,-8.63,-14.07
Straight_301,Straight,-4.25,-1.1300000000000001,-13.21,-16.89
Straight_302,Straight,-0.31000000000000005,-0.74,-10.2,-20.39
Straight_303,Straight,5.34,0.05,-13.030000000000001,-31.159999999999993
Straight_304,Straight,8.44,-0.12000000000000001,-14.370000000000001,-30.07
Straight_305,Straight,9.17,-0.64,-14.100000000000001,-29.129999999999995
Straight_306,Straight,9.29,-0.67,-9.32,-29.23
Straight_307,Straight,8.4,-0.9199999999999999,-9.66,-26.100000000000005
Straight_308,Straight,1.8499999999999999,-0.8,-6.630000000000001,-9.45
Straight_309,Straight,0.7999999999999999,-1.5799999999999998,-2.65,-0.44
Straight_310,Straight,-0.04000000000000001,-1.41,-1.44,-1.9600000000000002
Straight_311,Straight,-0.37000000000000005,-1.23,0.01999999999999999,-1.1700000000000002
Straight_312,Straight,-0.49,-1.77,0.39,-0.8999999999999999
Straight_313,Straight,-1.5199999999999998,-1.5200000000000002,0.32,-0.48000000000000004
Straight_314,Straight,-0.22000000000000003,-1.27,-0.75,-1.56
Left_315,Left,0.18000000000000002,-1.5,-1.87,-1.6099999999999999
Left_316,Left,0.27,-1.55,-1.67,-1.7899999999999998
Left_317,Left,-0.45,-1.9600000000000002,-0.7100000000000001,-1.34
Straight_318,Straight,0.10999999999999999,-1.04,-0.8300000000000001,-0.52
Straight_319,Straight,0.26,-1.74,-1.1,-1.05
Straight_320,Straight,-0.06,-0.87,-0.15999999999999998,-0.2
Straight_321,Straight,-0.15000000000000002,-1.84,-0.9,0.11
Straight_322,Straight,-0.33999999999999997,-1.9500000000000002,-1.21,0.26
Straight_323,Straight,0.01999999999999999,-1.63,-0.8800000000000001,-0.8899999999999999
Straight_324,Straight,23.03,-0.02999999999999997,-18.46,-20.4
Straight_325,Straight,16.66,2.4600000000000004,-38.11,-42.54
Straight_326,Straight,1.61,0.26,-4.45,-2.53
Straight_327,Straight,1.5199999999999998,0.24000000000000005,-2.4899999999999998,-1.68
Straight_328,Straight,1.87,0.1,-3.04,-2.1100000000000003
Straight_329,Straight,-0.6699999999999999,-2.42,0.43999999999999995,-7.42
Straight_330,Straight,-6.329999999999999,-8.01,2.3000000000000003,-29.680000000000003
Straight_331,Straight,2.96,1.11,-25.43,-31.45
Straight_332,Straight,1.47,4.3,-34.410000000000004,-37.449999999999996
Straight_333,Straight,-0.25,8.92,-39.19,-38.89999999999999
Straight_334,Straight,-0.86,9.969999999999999,-41.699999999999996,-40.44
Straight_335,Straight,-0.11999999999999997,4.68,-34.29,-29.87
Straight_336,Straight,-0.96,1.4500000000000004,-37.45,-36.03
Straight_337,Straight,-1.85,-0.86,-28.13,-28.480000000000004
Straight_338,Straight,-0.2,-0.33,-30.810000000000002,-27.060000000000002
Straight_339,Straight,0.85,-0.55,-28.839999999999996,-25.49
Straight_340,Straight,4.569999999999999,0.29,-33.910000000000004,-28.32
Straight_341,Straight,4.390000000000001,-0.22,-39.64999999999999,-32.49
Straight_342,Straight,3.68,0.22,-38.6,-36.99
Straight_343,Straight,3.5700000000000003,0.89,-32.61000000000001,-32.24
Straight_344,Straight,0.38,4.4799999999999995,-4.99,-4.39
Straight_345,Straight,1.28,23.380000000000003,-17.47,-17.259999999999998
Straight_346,Straight,1.77,24.759999999999998,-16.85,-16.54
Straight_347,Straight,2.71,21.92,-17.66,-15.670000000000002
Straight_348,Straight,1.3599999999999999,20.729999999999997,-16.97,-15.990000000000002
Straight_349,Straight,1.6400000000000001,23.890000000000004,-13.89,-14.7
Straight_350,Straight,1.5499999999999998,23.810000000000002,-16.619999999999997,-14.57
Straight_351,Straight,2.04,13.439999999999998,-12.03,-10.79
Straight_352,Straight,-0.37,6.96,-20.389999999999997,-7.819999999999999
Straight_353,Straight,-0.69,9.010000000000002,-23.72,-9.71
Straight_354,Straight,-0.25,9.020000000000001,-22.3,-10.43
Straight_355,Straight,0.51,2.67,-7.779999999999999,-3.45
Straight_356,Straight,2.35,4.0600000000000005,-13.700000000000001,-6.51
Straight_357,Straight,2.37,1.19,-8.76,-10.52
Straight_358,Straight,11.77,-0.38,-18.54,-28.71
Straight_359,Straight,15.929999999999998,-0.62,-23.5,-35.25
Straight_360,Straight,17.94,-0.33,-23.81,-34.63
Straight_361,Straight,20.63,-0.12999999999999998,-25.159999999999997,-35.77
Straight_362,Straight,16.310000000000002,-0.22,-17.11,-23.95
Straight_363,Straight,25.55,-0.04000000000000001,-25.490000000000002,-35.7
Straight_364,Straight,25.889999999999997,-0.19999999999999998,-24.72,-36.71
Straight_365,Straight,25.81,-0.36,-24.09,-34.75
Straight_366,Straight,25.08,0.029999999999999995,-22.990000000000002,-32.93
Straight_367,Straight,29.51,0.69,-35.85,-51.42
Straight_368,Straight,20.59,0.6200000000000001,-28.17,-35.57
Straight_369,Straight,4.0,1.69,-20.72,-20.669999999999998
Left_370,Left,2.7799999999999994,8.62,-51.19,-24.27
Left_371,Left,0.55,10.72,-48.99999999999999,-25.9
Left_372,Left,1.08,16.7,-46.94,-31.36
Left_373,Left,0.0,18.14,-51.06,-34.39
Left_374,Left,0.6100000000000001,19.84,-45.72,-37.47
Straight_375,Straight,0.7600000000000002,1.68,-16.61,-15.409999999999998
Left_376,Left,0.31,-0.24000000000000002,-14.0,-15.02
Left_377,Left,0.7700000000000001,-0.33,-11.19,-13.97
Left_378,Left,3.16,0.03,-10.97,-16.26
Straight_379,Straight,2.4400000000000004,0.39,-16.59,-18.189999999999998
Straight_380,Straight,1.1199999999999999,13.01,-33.3,-30.830000000000002
Right_381,Right,0.41000000000000003,22.560000000000002,-39.839999999999996,-35.4
Straight_382,Straight,1.33,26.679999999999996,-57.2,-34.93
Right_383,Right,0.12,24.979999999999997,-41.5,-30.139999999999997
Right_384,Right,-0.020000000000000004,28.509999999999998,-49.89,-34.99
Straight_385,Straight,0.06999999999999999,22.11,-42.18,-26.930000000000003
Straight_386,Straight,3.4000000000000004,1.6300000000000001,-14.510000000000002,-18.509999999999998
Straight_387,Straight,11.33,0.6,-20.3,-29.590000000000003
Straight_388,Straight,22.25,0.88,-26.919999999999998,-58.669999999999995
Straight_389,Straight,28.53,1.29,-30.360000000000003,-75.26
